Bottom,Height,Top,Mass_cup,Mass_lid,Mass_packaging
2.64055,4.34055,3.64055,0.0076893,0.0062149,0.0083763
2.64055,4.24055,2.64055,0.0064187,0.0052564,0.0049926
2.64055,4.24055,2.74055,0.0065261,0.0053522,0.005301
2.64055,4.24055,2.84055,0.0066343,0.005448,0.0056161
2.64055,4.24055,2.94055,0.0067434,0.0055438,0.0059379
2.64055,4.24055,3.04055,0.0068533,0.0056395,0.0062663
2.64055,4.24055,3.14055,0.0069642,0.0057353,0.0066013
2.64055,4.24055,3.24055,0.007076,0.0058311,0.006943
2.64055,4.24055,3.34055,0.0071889,0.0059269,0.0072914
2.64055,4.24055,3.44055,0.0073028,0.0060227,0.0076464
2.64055,4.24055,3.54055,0.0074178,0.0061185,0.008008
2.64055,4.24055,3.64055,0.007534,0.0062142,0.0083763
2.64055,4.14055,2.64055,0.0062875,0.0052564,0.0049926
2.64055,4.14055,2.74055,0.0063924,0.0053521,0.005301
2.64055,4.14055,2.84055,0.0064981,0.0054478,0.0056161
2.64055,4.14055,2.94055,0.0066047,0.0055436,0.0059379
2.64055,4.14055,3.04055,0.0067122,0.0056393,0.0062663
2.64055,4.14055,3.14055,0.0068206,0.005735,0.0066013
2.64055,4.14055,3.24055,0.0069301,0.0058307,0.006943
2.64055,4.14055,3.34055,0.0070406,0.0059264,0.0072914
2.64055,4.14055,3.44055,0.0071521,0.0060222,0.0076464
2.64055,4.14055,3.54055,0.0072648,0.0061179,0.008008
2.64055,4.14055,3.64055,0.0073787,0.0062136,0.0083763
2.64055,4.04055,2.64055,0.0061562,0.0052564,0.0049926
2.64055,4.04055,2.74055,0.0062586,0.0053521,0.005301
2.64055,4.04055,2.84055,0.0063619,0.0054477,0.0056161
2.64055,4.04055,2.94055,0.006466,0.0055434,0.0059379
2.64055,4.04055,3.04055,0.0065711,0.005639,0.0062663
2.64055,4.04055,3.14055,0.0066771,0.0057347,0.0066013
2.64055,4.04055,3.24055,0.0067842,0.0058303,0.006943
2.64055,4.04055,3.34055,0.0068923,0.005926,0.0072914
2.64055,4.04055,3.44055,0.0070015,0.0060216,0.0076464
2.64055,4.04055,3.54055,0.0071119,0.0061173,0.008008
2.64055,4.04055,3.64055,0.0072235,0.0062129,0.0083763
2.64055,3.94055,2.64055,0.0070683,0.0052564,0.0049926
2.64055,3.94055,2.74055,0.0061249,0.005352,0.005301
2.64055,3.94055,2.84055,0.0062257,0.0054476,0.0056161
2.64055,3.94055,2.94055,0.0063273,0.0055431,0.0059379
2.64055,3.94055,3.04055,0.00643,0.0056387,0.0062663
2.64055,3.94055,3.14055,0.0065336,0.0057343,0.0066013
2.64055,3.94055,3.24055,0.0066383,0.0058299,0.006943
2.64055,3.94055,3.34055,0.006744,0.0059255,0.0072914
2.64055,3.94055,3.44055,0.0068509,0.006021,0.0076464
2.64055,3.94055,3.54055,0.006959,0.0061166,0.008008
2.64055,3.94055,3.64055,0.0070683,0.0062122,0.0083763
2.64055,3.84055,2.64055,0.0058937,0.0052564,0.0049926
2.64055,3.84055,2.74055,0.0059912,0.0053519,0.005301
2.64055,3.84055,2.84055,0.0060894,0.0054474,0.0056161
2.64055,3.84055,2.94055,0.0061887,0.0055429,0.0059379
2.64055,3.84055,3.04055,0.0062889,0.0056384,0.0062663
2.64055,3.84055,3.14055,0.0063901,0.0057339,0.0066013
2.64055,3.84055,3.24055,0.0064924,0.0058294,0.006943
2.64055,3.84055,3.34055,0.0065958,0.0059249,0.0072914
2.64055,3.84055,3.44055,0.0067004,0.0060204,0.0076464
2.64055,3.84055,3.54055,0.0068062,0.0061159,0.008008
2.64055,3.84055,3.64055,0.0069132,0.0062114,0.0083763
2.64055,3.74055,2.64055,0.0057625,0.0052564,0.0049926
2.64055,3.74055,2.74055,0.0058574,0.0053518,0.005301
2.64055,3.74055,2.84055,0.0059532,0.0054473,0.0056161
2.64055,3.74055,2.94055,0.00605,0.0055427,0.0059379
2.64055,3.74055,3.04055,0.0061478,0.0056381,0.0062663
2.64055,3.74055,3.14055,0.0062466,0.0057335,0.0066013
2.64055,3.74055,3.24055,0.0063465,0.0058289,0.006943
2.64055,3.74055,3.34055,0.0064476,0.0059244,0.0072914
2.64055,3.74055,3.44055,0.0065499,0.0060198,0.0076464
2.64055,3.74055,3.54055,0.0066534,0.0061152,0.008008
2.64055,3.74055,3.64055,0.0067582,0.0062106,0.0083763
2.64055,3.64055,2.64055,0.0056313,0.0052564,0.0049926
2.64055,3.64055,2.74055,0.0057237,0.0053517,0.005301
2.64055,3.64055,2.84055,0.005817,0.0054471,0.0056161
2.64055,3.64055,2.94055,0.0059113,0.0055424,0.0059379
2.64055,3.64055,3.04055,0.0060067,0.0056378,0.0062663
2.64055,3.64055,3.14055,0.0061031,0.0057331,0.0066013
2.64055,3.64055,3.24055,0.0062007,0.0058284,0.006943
2.64055,3.64055,3.34055,0.0062994,0.0059238,0.0072914
2.64055,3.64055,3.44055,0.0063994,0.0060191,0.0076464
2.64055,3.64055,3.54055,0.0065007,0.0061144,0.008008
2.64055,3.64055,3.64055,0.0066032,0.0062098,0.0083763
2.54055,4.34055,2.54055,0.0062677,0.0050594,0.0046908
2.54055,4.34055,2.64055,0.0063776,0.0051553,0.0049926
2.54055,4.34055,2.74055,0.0064883,0.0052511,0.005301
2.54055,4.34055,2.84055,0.0065997,0.005347,0.0056161
2.54055,4.34055,2.94055,0.006712,0.0054428,0.0059379
2.54055,4.34055,3.04055,0.0068252,0.0055387,0.0062663
2.54055,4.34055,3.14055,0.0069392,0.0056345,0.0066013
2.54055,4.34055,3.24055,0.0070543,0.0057304,0.006943
2.54055,4.34055,3.34055,0.0071703,0.0058262,0.0072914
2.54055,4.34055,3.44055,0.0072874,0.005922,0.0076464
2.54055,4.34055,3.54055,0.0074056,0.0060179,0.008008
2.54055,4.24055,2.54055,0.0061415,0.0050594,0.0046908
2.54055,4.24055,2.64055,0.0062489,0.0051552,0.0049926
2.54055,4.24055,2.74055,0.0063571,0.005251,0.005301
2.54055,4.24055,2.84055,0.006466,0.0053468,0.0056161
2.54055,4.24055,2.94055,0.0065759,0.0054426,0.0059379
2.54055,4.24055,3.04055,0.0066866,0.0055383,0.0062663
2.54055,4.24055,3.14055,0.0067983,0.0056341,0.0066013
2.54055,4.24055,3.24055,0.006911,0.0057299,0.006943
2.54055,4.24055,3.34055,0.0070246,0.0058257,0.0072914
2.54055,4.24055,3.44055,0.0071394,0.0059215,0.0076464
2.54055,4.24055,3.54055,0.0072553,0.0060173,0.008008
2.54055,4.14055,2.54055,0.0060153,0.0050594,0.0046908
2.54055,4.14055,2.64055,0.0061202,0.0051551,0.0049926
2.54055,4.14055,2.74055,0.0062259,0.0052509,0.005301
2.54055,4.14055,2.84055,0.0063324,0.0053466,0.0056161
2.54055,4.14055,2.94055,0.0064398,0.0054423,0.0059379
2.54055,4.14055,3.04055,0.0065481,0.005538,0.0062663
2.54055,4.14055,3.14055,0.0066574,0.0056337,0.0066013
2.54055,4.14055,3.24055,0.0067677,0.0057295,0.006943
2.54055,4.14055,3.34055,0.006879,0.0058252,0.0072914
2.54055,4.14055,3.44055,0.0069914,0.0059209,0.0076464
2.54055,4.14055,3.54055,0.007105,0.0060166,0.008008
2.54055,4.04055,2.54055,0.0069548,0.0050594,0.0046908
2.54055,4.04055,2.64055,0.0069548,0.0051551,0.0049926
2.54055,4.04055,2.74055,0.0060947,0.0052507,0.005301
